Close,Volume USDT,RSI,MACD_Hist,ATR,KAMAO
-0.9109142823410642,-0.6639508945911173,-0.3847996946977944,-0.12974395352630752,-0.6630206944925482,0.4346099184276241
-0.9102562407639895,-0.6643440739589194,-0.3721193842198363,-0.1284273692724757,-0.6632763070003794,0.45848558651594556
-0.9106305449014719,-0.6638701206244986,-0.3791262991061445,-0.12718147858212234,-0.6637100314821536,0.44183423859592386
-0.9110243380752092,-0.6637407856482197,-0.38651310448697596,-0.12600834568048805,-0.6644810735298519,0.425079660251408
-0.9111051602549718,-0.6635679802938492,-0.3880328149037315,-0.12485360325001711,-0.6651055770105676,0.42062639834340515
-0.9153537701585248,-0.6618812263195273,-0.4677332980754929,-0.12442384379412527,-0.6650644139699917,0.2524515824519721
-0.9185127136526532,-0.6568806703120843,-0.526631165251532,-0.12452035381379875,-0.6644750387080325,0.12733006277526768
-0.9218052143658221,-0.6621574493732713,-0.5877172023348605,-0.12515563215471237,-0.6641375008765225,-0.0020622561290379975
-0.9221594562601011,-0.6634775633413066,-0.5942796969329087,-0.12582090903895202,-0.6642728843830074,-0.016115362714459628
-0.921595993829557,-0.6630759911168054,-0.5831836311283767,-0.12635986758403076,-0.6646859378456289,0.005734115189671827
-0.9255293399113406,-0.6611069371133321,-0.6561039448525458,-0.12753748720670002,-0.6647724323311509,-0.14810928316505223
-0.924098042160508,-0.6619485695563035,-0.6278271313790923,-0.12843151108941653,-0.6647028392234902,-0.09177622371331588
-0.924098042160508,-0.6624573071584655,-0.6278271313790901,-0.12929000361013393,-0.6650437929984595,-0.09164292970578779
-0.9242631257617253,-0.663499616075842,-0.6308999415842034,-0.13014152055352243,-0.6654387998341755,-0.09797087951691581
-0.9252450292647996,-0.6634473446727853,-0.6492053047697376,-0.131124601004831,-0.6658076357389616,-0.13624362136948673
-0.9231069673462549,-0.6635710280095632,-0.6066509161548063,-0.13170744454264247,-0.6662366905508023,-0.05215240269387518
-0.9228513170471475,-0.6629889741312801,-0.6015625801237191,-0.13221689961496608,-0.6668836981588238,-0.04213828576509581
-0.9248294542270127,-0.6638787468527964,-0.6386423462495109,-0.13303313217103144,-0.6673124144504887,-0.11992226627592978
-0.9202283220500268,-0.6629474485596136,-0.5470839569617215,-0.1330343101686137,-0.6674009860203451,0.06124721285044318
-0.9182249637644202,-0.6619958845458036,-0.5074265245497621,-0.13267664446665417,-0.6675884941421236,0.1395479418325208
-0.9193157765877419,-0.6637557378876627,-0.5279884822468004,-0.1324918048309827,-0.6680468777066161,0.09585700270061191
-0.9182776988036978,-0.6634931909721555,-0.5073956591430416,-0.13211541360822482,-0.668636424279224,0.13626167635171357
-0.922466695184589,-0.6636402502424373,-0.5863162107359313,-0.13243765800969204,-0.668704521984007,-0.029900346969827515
-0.9230834658613594,-0.6636305670805926,-0.5979013736435721,-0.13283921188680622,-0.6692708913007214,-0.05436111112525913
-0.9254192841771957,-0.6635183236459029,-0.6417459096464251,-0.13361002076678205,-0.6696956272653112,-0.1466976056473682
-0.9273739198721653,-0.6629398912849169,-0.6783488493121097,-0.13467822460840925,-0.6702052808991428,-0.22366063796922897
-0.9292586243193971,-0.6624228702599954,-0.713578649488308,-0.13602609706925284,-0.6702916217601967,-0.29734374724149043
-0.9262693500820754,-0.6632551526223476,-0.6535599790424768,-0.13682147511227793,-0.6703749717917863,-0.17771621763588308
-0.9277602613555699,-0.6637529593911462,-0.6814853448743659,-0.1378346792069346,-0.6708225887732877,-0.23627950491719726
-0.926018858645506,-0.66243450439184,-0.6465235716540367,-0.13851319216305047,-0.6706969755388872,-0.16622250822815202
-0.9307432303164562,-0.661815525160181,-0.7348685804787047,-0.13995990798020946,-0.6703607079962209,-0.35246644956464634
-0.9286836977498797,-0.6636894498184426,-0.6934859798039802,-0.14100934610620958,-0.6707292155975617,-0.26938516874941626
-0.9282818796788609,-0.6634283512253456,-0.685412849594313,-0.14195013491608083,-0.6712020754367104,-0.2524182446701109
-0.9281110640081569,-0.663789586265621,-0.6819731194226755,-0.14282340313707284,-0.6718754432366998,-0.24478250956126227
-0.9263908699551938,-0.6636896040170498,-0.6473121812359813,-0.14336755188833591,-0.6723825148410205,-0.17547004609281444
-0.9254043807965302,-0.663174036305225,-0.6274431390191898,-0.14371324915455294,-0.6728300152690528,-0.13561206464608072
-0.9244299289837887,-0.6630443757317683,-0.6078063402278184,-0.14386628240941968,-0.6730326097098706,-0.09635625774986341
-0.9259781609521502,-0.6634461565280173,-0.6371542729479599,-0.14425814442919882,-0.6732478799523213,-0.15789931671504256
-0.9260543974763237,-0.664059036323585,-0.63860075006056,-0.14463452662635362,-0.6738330129859774,-0.16050438831116418
-0.9258337128010852,-0.6635928175551014,-0.6341209456386647,-0.14494529772565448,-0.6742288095032323,-0.15119022816786015
-0.9267067069839118,-0.6636244235170183,-0.6507640706587542,-0.14537713710536487,-0.6746022080734037,-0.18569222278814512
-0.9246712491091794,-0.6638995061326286,-0.6093197186428755,-0.14543437829363545,-0.6752355141261787,-0.10355217307449854
-0.9255310595321866,-0.6640761567586417,-0.6257761149936523,-0.14561521053397525,-0.6759926930198522,-0.13794109658662862
-0.9213839072585486,-0.6627788480059558,-0.5414996520401022,-0.14506804965228223,-0.6760732656262715,0.029228525833182986
-0.9210961573703155,-0.6628263016445551,-0.535667604167527,-0.14446146019788422,-0.6765198058398927,0.0404505807598714
